algorithm,n,runtime_s_mean,runtime_s_std,nodes_mean,backtracks_mean,constraint_checks_mean,objective_mean,objective_std,failure_rate_mean,success_rate
basic_backtracking,10,0.6667548593331958,1.1546278694030283,54431.0,54421.333333333336,54431.0,210.2658722695729,40.69620295627407,0.03333333333333333,0.6666666666666666
basic_backtracking,20,1.3334424533334943,1.1545333703616731,126303.33333333333,126284.66666666667,126303.33333333333,625.1671628819007,191.95872126518938,0.06666666666666667,0.3333333333333333
basic_backtracking,30,2.000011860000086,4.770542049694335e-06,466680.6666666667,466655.0,466680.6666666667,1397.6409821020588,639.6263431878386,0.13333333333333333,0.0
basic_backtracking,40,2.000021705666768,1.047607317810604e-05,453167.6666666667,453139.0,453167.6666666667,2567.2341617461534,984.4703159737061,0.25,0.0
basic_backtracking,50,2.000034797666558,2.9554892721957425e-05,543193.3333333334,543163.6666666666,543193.3333333334,4467.234161746153,884.335112784664,0.4000000000000001,0.0
bt_fc_mrv_deg,10,0.6683004603331332,1.15329989331649,40707.0,40697.333333333336,40707.0,171.1606007151053,41.98859055433528,0.03333333333333333,0.6666666666666666
bt_fc_mrv_deg,20,1.3341630079997533,1.1533397073441705,51764.333333333336,51746.0,51764.333333333336,632.4888923054795,112.8515814866132,0.06666666666666667,0.3333333333333333
bt_fc_mrv_deg,30,2.0001020459997867,4.4779162576920995e-06,61864.0,61836.666666666664,61864.0,1188.8340737330561,477.16439610579374,0.08888888888888889,0.0
bt_fc_mrv_deg,40,2.000142305333308,1.7133395333538323e-05,48982.0,48946.333333333336,48982.0,1575.6004276262363,299.07623513377536,0.09166666666666667,0.0
bt_fc_mrv_deg,50,2.000187877333095,2.4129081719425398e-05,39910.0,39867.0,39910.0,2497.6743191956025,984.9951702880857,0.13999999999999999,0.0
bt_lcv,10,0.6673096269999709,1.1541511045200514,37430.333333333336,37420.666666666664,37430.333333333336,257.2241098180352,39.90423234025187,0.03333333333333333,0.6666666666666666
bt_lcv,20,1.3747861176667964,1.082931322113131,74334.33333333333,74315.66666666667,74334.33333333333,742.137361201466,177.14278945363142,0.06666666666666667,0.3333333333333333
bt_lcv,30,2.000017307333413,3.959079170590983e-06,143888.0,143860.33333333334,143888.0,1306.4790212165165,177.99828585043934,0.06666666666666667,0.0
bt_lcv,40,2.000040078333465,2.489324968375374e-05,96090.33333333333,96062.0,96090.33333333333,2889.353975489552,1897.754975762732,0.2833333333333334,0.0
bt_lcv,50,2.000200078000186,9.677921731779535e-05,67270.0,67242.0,67270.0,4660.474332524599,2593.85273277187,0.43333333333333335,0.0
bt_mrv,10,0.6667749000001398,1.1546136125287845,58470.0,58460.333333333336,58470.0,208.44883215179937,36.47840142890695,0.03333333333333333,0.6666666666666666
bt_mrv,20,1.33357140966685,1.154314980695108,116780.66666666667,116762.0,116780.66666666667,642.2439046308738,181.0475967315917,0.06666666666666667,0.3333333333333333
bt_mrv,30,2.0000190770000095,1.1127486364811288e-05,159931.0,159903.0,159931.0,1121.0499089924226,125.0943123079012,0.06666666666666667,0.0
bt_mrv,40,1.3335881759997694,1.1543418551127773,95508.0,95484.0,95508.0,3503.013437403874,3447.7230007241005,0.3666666666666667,0.0
bt_mrv,50,1.3338307480001579,1.1538979300632288,190184.0,190158.0,190184.0,4984.167550852989,3939.312353038392,0.4466666666666667,0.0
min_conflicts,10,0.00010063066656584851,8.25521814348416e-05,1.6666666666666667,0.0,2.6666666666666665,408.83502168722435,137.87590963722587,0.06666666666666667,0.3333333333333333
min_conflicts,20,0.0006157076665355513,0.000453441668152271,5.666666666666667,0.0,6.666666666666667,916.7026221958771,84.80395653340712,0.08333333333333333,0.0
min_conflicts,30,0.005260723999526817,0.0035540085880677356,15.333333333333334,0.0,16.333333333333332,1357.1530034268924,177.94239458413054,0.07777777777777778,0.0
min_conflicts,40,0.008443062333147585,0.006528982775356752,25.333333333333332,0.0,26.333333333333332,1759.7618908864322,346.95613735295245,0.09166666666666667,0.0
min_conflicts,50,0.3463872916663604,0.5746817011466941,1028.6666666666667,0.0,1029.3333333333333,2381.9844504095695,776.8491687817072,0.12666666666666668,0.0
