config,mean_regret_pct,sd_regret_pct,mean_coverage_pct
"baseline (alpha=(1+n)^-0.7, eps_floor=0.05, Q0=0)",12.596757716424245,1.45633184184162,51.62572470264778
alpha power 0.5,17.353745543982892,0.9291765596778447,51.61377084454008
alpha power 1.0,8.724675254792382,0.9885059111245267,51.35078596617058
constant alpha 0.1,24.52414458222304,2.720148940752842,52.232383001613776
constant alpha 0.5,21.8030605784016,1.0396175873339806,51.999282768513545
eps floor 0.0,12.10275608593708,0.8569071167725993,51.53308230231307
eps floor 0.2,11.651782611864979,0.22049522957240889,51.38963600502061
eps floor 0.5,10.809867241502593,0.9978688017711411,50.603669834439074
neutral Q0 = -560 (~ mean V*),5.514648481792143,0.3649501450505949,49.75195744426514
pessimistic Q0 = -2000,9.957016250176858,0.20673263532409414,45.5860378937302
no exploring starts,14.864558159689835,0.36722321509952743,33.71585679277987
TUNED: Q0 = -560 and alpha power 1.0,4.7826054599428875,0.13850890991307924,49.81471519933058
gamma = 0.5 (regret measured against that gamma's own V*),3.405318158312294,0.07893155737486564,52.01123662662124
gamma = 0.9 (regret measured against that gamma's own V*),8.802963982608512,0.03473121164709764,51.55101308947462
gamma = 0.999 (regret measured against that gamma's own V*),13.918256553528229,1.1891697358290771,51.39561293407447
