"state (qA,qB,phi,e,p)",green_queue,red_queue (longer!),R(hold) - R(switch),gamma*[EV(hold) - EV(switch)],Q(hold) - Q(switch),longest_queue_first_would,optimal
"(12,11,B,2,peak)",11,12,5.942235928504303,32.30355361634952,38.24578954485382,SWITCH,HOLD
"(12,11,B,3,peak)",11,12,5.942235928504303,32.159812061535035,38.10204799003934,SWITCH,HOLD
"(11,12,A,2,peak)",11,12,12.02793296089385,25.67466887473563,37.70260183562948,SWITCH,HOLD
"(11,10,B,2,peak)",10,11,3.828970538589978,33.700357443319945,37.52932798190992,SWITCH,HOLD
"(11,10,B,3,peak)",10,11,3.828970538589978,33.6516530242983,37.480623562888276,SWITCH,HOLD
"(12,10,B,2,peak)",10,12,3.828970538589985,33.47015695969401,37.299127498283994,SWITCH,HOLD
"(12,10,B,3,peak)",10,12,3.828970538589985,33.42145756764262,37.250428106232604,SWITCH,HOLD
"(10,11,A,2,peak)",10,11,7.311130210571548,29.44497724180019,36.75610745237174,SWITCH,HOLD
"(10,12,A,2,peak)",10,12,7.311130210571552,28.987563781149788,36.298693991721336,SWITCH,HOLD
"(11,10,B,4,peak)",10,11,3.828970538589978,32.10892972779823,35.937900266388205,SWITCH,HOLD
